,c,year,top1_sfiinc,top10_sfiinc,top1_sdiinc,top10_sdiinc,unitlabel,source,method,data_quality,imputation,_ISO3N_,top10_shweal,top1_shweal,top01_shweal,top01_sfiinc,top01_sdiinc,Countrycode,Grosscapitalshare,Netcapitalshare,Top10incomeshare,Top1incomeshare,Top01incomeshare,gdppc,pop,b_crisis,c_crisis,left,right,margtax,GDPpercapita,union,Globalization,nordic,English,ContinentalEuropean,TaxRevenue,Population,HumanCapital,FinancialDevelopment,PublicSpending,Unemp,Unemployment,Taxrev,growth,GDPPCcur,GDPcons,GDPPCcons,system,execrlc,pr,rightwing,majoritarian,epl,uc,TopIncomeTaxRate,leftwing,independenceyear,currencycrises,inflationcrises,stockmarketcrash,domesticsovereigndebtcrisis,externalsovereigndebtcrisis,bankingcrises,yearlycrisistally,crisisB,system_dpi,execrlc_dpi,pluralty_dpi,pr_dpi,cgdppc,rgdpnapc,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,abs_red,abs_red_se,rel_red,rel_red_se,crisisLTEXT,crisisL,id,bankdeposits,smcap,totcap1,cgov,comp_sh,lab_sh1,lab_sh2,lab_sh3,lab_sh4
0,Australia,1910,,,,,,,,,,36,,,,,,,,,,,,,,,,,,0.05,5209.8286,,,0.0,1.0,0.0,,4375.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8117.0,9465.0,,,,,,,,,,,,0.3442792,,,0.0227667,,,,,
1,Australia,1911,,,,,,,,,,36,,,,,,AUS,45.13217778088468,43.43561518610131,,,,5103.777777777778,4500.0,0.0,0.0,1.0,0.0,0.05,5103.7778,,,0.0,1.0,0.0,,4500.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8066.0,9273.0,,,,,,,,,,,,,,,,,,,,
2,Australia,1912,0.1278,0.4082,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.045,,AUS,44.39779036575836,42.47628690241216,,,,5098.476721733533,4661.0,0.0,0.0,1.0,0.0,0.05,5098.4767,,,0.0,1.0,0.0,,4661.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8171.0,9263.0,,,,,,,,,,,,,,,,,,,,
3,Australia,1913,0.1173,0.3747,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.041,,AUS,44.444122348317975,42.52523411871353,,,,5156.813939016802,4821.0,0.0,0.0,0.0,1.0,0.058,5156.8139,,,0.0,1.0,0.0,,4821.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8380.0,9369.0,,,,,,,,,,,,0.338013,0.38999999,0.730399,0.0228795,,,,,
4,Australia,1914,0.1102,0.3519,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.0387,,AUS,44.99642505191377,43.23103735233708,,,,5026.75856476789,4933.0,0.0,0.0,0.0,1.0,0.063,5026.7586,,,0.0,1.0,0.0,,4933.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8282.0,9133.0,,,,,,,,,,,,,,,,,,,,
5,Australia,1915,0.104,0.3304,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.0373,,AUS,46.26571614725459,43.968821770886315,,,,4896.600281633474,4971.0,0.0,1.0,1.0,0.0,0.297,4896.6003,,,0.0,1.0,0.0,,4971.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,8177.0,8896.0,,,,,,,,,,,,,,,,,,,,
6,Australia,1916,0.0895,0.2829,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.0328,,AUS,45.9961850349746,43.69668015485042,,,,4878.304742684158,4955.0,0.0,0.0,1.0,0.0,0.355,4878.3047,,,0.0,1.0,0.0,,4955.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,8255.0,8863.0,,,,,,,,,,,,,,,,,,,,
7,Australia,1917,0.0919,0.2914,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.0336,,AUS,46.55130466740963,44.5077323429844,,,,4791.111111111111,4950.0,0.0,0.0,0.0,1.0,0.355,4791.1111,,,0.0,1.0,0.0,,4950.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8215.0,8705.0,,,,,,,,,,,,,,,,,,,,
8,Australia,1918,0.0933,0.2967,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.0341,,AUS,47.67018571543267,45.683683254784356,,,,4601.550079491256,5032.0,0.0,0.0,0.0,1.0,0.443,4601.5501,,,0.0,1.0,0.0,,5032.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7993.0,8360.0,,,,,,,,,,,,,,,,,,,,
9,Australia,1919,0.1267,0.404,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.0462,,AUS,46.61506334944256,44.59086190368788,,,,4715.578663585596,5193.0,0.0,0.0,0.0,1.0,0.443,4715.5787,,,0.0,1.0,0.0,,5193.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8297.0,8567.0,,,,,,,,,,,,,,,,,,,,
10,Australia,1920,0.102,0.3263,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.035,,AUS,46.14207110956725,43.79726203944251,,,,4765.584173198955,5358.0,0.0,0.0,0.0,1.0,0.498,4765.5842,,,0.0,1.0,0.0,,5358.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,8491.0,8658.0,,,,,,,,,,,,0.4192275,,,0.0639094,,,,,
11,Australia,1921,0.1163,0.3733,,,,"Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 7. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2013). Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia. NBER Working Paper No. 19121. Burkhauser, Richard V. , Hahn, Markus H. and Wilkins, Roger (2015). Measuring top incomes using tax record data: a cautionary tale from Australia. Journal of Economic Inequality, 13(2): 181-205. Series updated by Roger Wilkinson.;","Adults are individuals aged 15+. The series includes transfers. Averages exclude capital gains, shares include capital gains. Shares for years from 1912 to 1920 refer to Victoria. Figures for 1912 and 1913 are for calendar years. Figures for years from 1914 onwards are for tax years (e.g. 1914 denotes the tax year 1 July 1914 to 30 June 1915).",3,,36,,,,0.0397,,AUS,41.53156154091994,38.98788501320288,,11.63,3.9699999999999998,4910.822193737411,5461.0,0.0,0.0,0.0,1.0,0.498,4910.8222,,,0.0,1.0,0.0,,5461.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8860.0,8922.0,,,,,,,,,,,,,,,,,,,,
